Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,0.127187,0.130781,0.124062,0.126250,0.078713,15980800
2015-12-03,0.128125,0.137656,0.127343,0.135468,0.084460,16876800
2015-12-04,0.135468,0.135468,0.125156,0.125156,0.078031,12128000
2015-12-07,0.127031,0.132656,0.125000,0.131093,0.081732,14592000
2015-12-08,0.130937,0.130937,0.123281,0.124218,0.077446,14227200
2015-12-09,0.126093,0.132812,0.125156,0.126718,0.079005,26956800
2015-12-10,0.130468,0.141875,0.125000,0.132812,0.082804,32000000
2015-12-11,0.130468,0.130781,0.125312,0.125468,0.078225,14182400
2015-12-14,0.125781,0.127031,0.121562,0.122343,0.076277,19724800
2015-12-15,0.130625,0.156250,0.130468,0.137500,0.085727,78585600
2015-12-16,0.139062,0.145000,0.135156,0.143437,0.089428,25497600
2015-12-17,0.143906,0.167187,0.143906,0.165625,0.103262,57062400
2015-12-18,0.166406,0.175000,0.159687,0.164062,0.102287,59046400
2015-12-21,0.170312,0.171250,0.157656,0.157812,0.098391,15718400
2015-12-22,0.158750,0.170156,0.157812,0.170000,0.105989,30163200
2015-12-23,0.170312,0.184375,0.170312,0.184375,0.114952,23334400
2015-12-28,0.184375,0.253125,0.184375,0.253125,0.157815,64140800
2015-12-29,0.260937,0.281250,0.241406,0.280468,0.174863,107616000
2015-12-30,0.269531,0.279062,0.259687,0.275781,0.171940,49414400
2016-01-04,0.264843,0.285937,0.259687,0.280468,0.174863,34636800
2016-01-05,0.286093,0.290312,0.280468,0.283281,0.176616,24044800
2016-01-06,0.283281,0.285937,0.258750,0.258750,0.161322,29331200
2016-01-07,0.250000,0.250000,0.204687,0.224375,0.139890,56672000
2016-01-08,0.234375,0.238281,0.222656,0.225312,0.140475,24409600
2016-01-11,0.226406,0.235156,0.219062,0.225312,0.140475,8512000
2016-01-12,0.229375,0.229375,0.211093,0.212500,0.132487,5881600
2016-01-13,0.213437,0.218750,0.200000,0.211093,0.131610,12793600
2016-01-14,0.208593,0.221718,0.196875,0.221718,0.138234,10342400
2016-01-15,0.218906,0.225000,0.214218,0.225000,0.140280,5900800
2016-01-18,0.226718,0.240937,0.221875,0.221875,0.138332,8697600
2016-01-19,0.224218,0.233593,0.217187,0.217187,0.135409,4908800
2016-01-20,0.215468,0.218281,0.207812,0.215625,0.134435,5388800
2016-01-21,0.214843,0.221718,0.214062,0.214062,0.133461,3827200
2016-01-22,0.217187,0.218906,0.199218,0.199218,0.124206,4313600
2016-01-26,0.199218,0.205937,0.198906,0.200156,0.124791,6752000
2016-01-27,0.201875,0.206718,0.201718,0.202812,0.126447,3212800
2016-01-28,0.202812,0.207343,0.200781,0.200781,0.125180,2259200
2016-01-29,0.204531,0.227656,0.201718,0.221093,0.137844,9337600
2016-02-01,0.221093,0.227343,0.217500,0.227343,0.141741,4928000
2016-02-02,0.225781,0.235625,0.218750,0.218750,0.136383,6329600
2016-02-03,0.222500,0.226562,0.216406,0.226562,0.141254,3955200
2016-02-04,0.229687,0.238281,0.225000,0.227343,0.141741,4435200
2016-02-05,0.227343,0.231875,0.214843,0.215937,0.134630,5376000
2016-02-10,0.215625,0.215625,0.207812,0.210000,0.130928,2592000
2016-02-11,0.206875,0.207656,0.197812,0.197812,0.123329,4659200
2016-02-12,0.198750,0.237968,0.198750,0.237968,0.148365,15584000
2016-02-15,0.241406,0.277968,0.241406,0.271093,0.169018,15001600
2016-02-16,0.276250,0.299218,0.272187,0.297343,0.185384,19366400
2016-02-17,0.297812,0.307500,0.264843,0.264843,0.165121,21536000
2016-02-18,0.264843,0.280625,0.254843,0.278593,0.173694,16467200
2016-02-19,0.278125,0.288281,0.276562,0.281250,0.175350,9088000
2016-02-22,0.287500,0.291562,0.279531,0.285312,0.177883,4428800
2016-02-23,0.286250,0.296718,0.280468,0.296718,0.184994,8044800
2016-02-24,0.289843,0.302343,0.285937,0.296875,0.185092,7961600
2016-02-25,0.292343,0.300781,0.292343,0.292500,0.182364,5241600
2016-02-26,0.297187,0.303750,0.295156,0.296875,0.185092,6099200
2016-02-29,0.296875,0.334218,0.296875,0.307812,0.191911,12729600
2016-03-01,0.311718,0.335781,0.303593,0.325000,0.202627,18713600
2016-03-02,0.329687,0.348437,0.328437,0.345468,0.215388,15238400
2016-03-03,0.350781,0.399375,0.347812,0.393125,0.245101,18003200
2016-03-04,0.406250,0.422812,0.382812,0.395312,0.246464,13670400
2016-03-07,0.395312,0.410000,0.395000,0.395000,0.246270,7788800
2016-03-08,0.391250,0.395156,0.383593,0.390468,0.243444,6579200
2016-03-09,0.391250,0.425781,0.391250,0.417187,0.260103,14924800
2016-03-10,0.424531,0.427500,0.412656,0.424218,0.264486,5638400
2016-03-11,0.421875,0.428906,0.421250,0.422031,0.263123,4492800
2016-03-14,0.424218,0.440625,0.418125,0.437500,0.272767,12742400
2016-03-15,0.430468,0.445156,0.425781,0.431718,0.269162,10182400
2016-03-16,0.432500,0.451718,0.432343,0.446250,0.278222,9984000
2016-03-17,0.453125,0.468750,0.445312,0.447031,0.278709,11609600
